"Model","MAE","RMSE","R2","Computation_Time"
"GP",0.609229716547307,0.776060805084051,0.89226800401985,8.28499133189519
"AR",0.770117529500019,0.968291863804869,0.84780911184937,9.6412625670433
"GPP",0.273651186404822,0.363507535550624,0.978026853683288,3.76777053276698
